"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BOM";"C3";"CIIVA_IDS";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"COMPONENT_LINK_4_DESCRIPTION";"COMPONENT_LINK_4_URL";"DAC_OUTPUTS";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_V";"MF";"MOUNTING_TECHNOLOGY";"MOUSER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OP_PWR_DISS";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PACKING";"PIN_0_0_6_INSIDE_EDGE";"POPULARITY";"PREFIX";"PRICE";"RELEASE_DATE";"RESOLUTION_BITS";"ROHS";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SETTLING_TIME";"SINGLE_SUPPLY";"SPICEPREFIX";"VAULT_GUID";"VAULT_REVISION";
"3";"";"10-XX";"B3F-10XX";"RST, SW1, SW2";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"";"";"";"";"";"72";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"LED-0603";"0603-LED";"5V, RED1, RED2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"LED-0805";"0805-LED";"+15V, -15V, 3V3, GREEN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MA02-1";"MA02-1";"ANAIN";"Headers & Wire Housing, 1 Row, 3 Position";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"MA03-1";"MA03-1";"I2C, MIDI";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"48";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"MA04-1";"MA04-1";"A02/1/12/11, ABCD, EXT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"41";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"MA04-2";"MA04-2";"0V/5V/-15V/+15V, SUM_CON";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MA08-1";"MA08-1";"A010/9/8/7/3/4/5/6";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";
"14";"";"TESTPOINT";"TESTPOINT_63";"CAL_IN_A, CAL_IN_B, CUTOFF, IN9, IN10, MIXOUT, Q, VCA_CV, VCA_IN, VCA_OUT, VCF_IN, VCF_OUT, XIN, XMOD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"0.1uF";"C-US0805";"C0805";"C55, C66, C67, C68, C69, C70";"SMD Multilayer Ceramic Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"80-C0805C104J5RAUTO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
