time	V(buf)
0.000000000000000e+00	9.875649e-01
1.953125022824409e-10	9.875645e-01
3.906250045648818e-10	9.875641e-01
3.125000036519054e-09	9.875579e-01
1.250000014607622e-08	9.875345e-01
2.500000029215244e-08	9.875007e-01
5.000000058430487e-08	9.874279e-01
1.000000011686097e-07	9.872717e-01
2.000000023372195e-07	9.869453e-01
8.000000093488779e-07	9.849510e-01
1.326910714793226e-04	5.462521e-01
2.645821429492963e-04	1.076223e-01
3.964732144192700e-04	-3.309382e-01
5.283642858892437e-04	-7.694297e-01
6.602553573592174e-04	-1.207852e+00
7.921464288291912e-04	-1.646205e+00
9.240375002991646e-04	-2.084489e+00
9.379883931563074e-04	-2.130843e+00
9.519392860134503e-04	-2.177197e+00
9.658901788705931e-04	-2.223549e+00
9.798410717277359e-04	-2.269901e+00
9.937919645848789e-04	-2.316252e+00
1.007742857442022e-03	-2.362602e+00
1.021693750299165e-03	-2.408951e+00
1.041225000299165e-03	-2.473838e+00
1.060756250299165e-03	-2.538723e+00
1.063128416509379e-03	-2.546603e+00
1.067872748929807e-03	-2.562364e+00
1.068749895932856e-03	-2.565278e+00
1.070504189938954e-03	-2.571105e+00
1.070942763440478e-03	-2.572562e+00
1.071819910443527e-03	-2.575475e+00
1.072039197194289e-03	-2.576202e+00
1.072477770695813e-03	-2.577652e+00
1.072555260358307e-03	-2.577906e+00
1.072574632773930e-03	-2.577968e+00
1.072613377605177e-03	-2.578090e+00
1.072690867267670e-03	-2.578326e+00
1.072710239683294e-03	-2.578377e+00
1.072748984514540e-03	-2.578459e+00
1.072758670722352e-03	-2.578469e+00
1.072778043137975e-03	-2.578410e+00
1.072816787969222e-03	-2.578030e+00
1.072823157602494e-03	-2.577821e+00
1.072835896869037e-03	-2.576845e+00
1.072853339405507e-03	-2.574528e+00
1.072871607533980e-03	-2.571116e+00
1.072891277358923e-03	-2.567600e+00
1.072919711805076e-03	-2.565030e+00
1.072943050220350e-03	-2.565658e+00
1.072966301369361e-03	-2.568132e+00
1.072996518325556e-03	-2.572147e+00
1.073014962585611e-03	-2.574291e+00
1.073026522271254e-03	-2.574715e+00
1.073036283799863e-03	-2.574455e+00
1.073042819836440e-03	-2.574494e+00
1.073050528526067e-03	-2.574941e+00
1.073058547837073e-03	-2.575583e+00
1.073070711197571e-03	-2.576668e+00
1.073088151278645e-03	-2.578075e+00
1.073123031440792e-03	-2.580153e+00
1.073158133477554e-03	-2.581316e+00
1.073201918879782e-03	-2.581723e+00
1.073256608152400e-03	-2.581423e+00
1.073311803923853e-03	-2.580714e+00
1.073383367848231e-03	-2.579690e+00
1.073458831295159e-03	-2.578809e+00
1.073568212425329e-03	-2.577959e+00
1.073705689374635e-03	-2.577326e+00
1.073905375232121e-03	-2.576742e+00
1.074099048465036e-03	-2.576203e+00
1.074364988390550e-03	-2.575351e+00
1.074759791275542e-03	-2.574040e+00
1.075191635993290e-03	-2.572638e+00
1.076055325428786e-03	-2.569828e+00
1.077115861588357e-03	-2.566369e+00
1.079225272272475e-03	-2.559489e+00
1.083444093640713e-03	-2.545719e+00
1.089643774701874e-03	-2.525477e+00
1.099691807896233e-03	-2.492662e+00
1.235854704396371e-03	-2.047964e+00
1.372017600896509e-03	-1.603575e+00
1.508180497396646e-03	-1.159495e+00
1.644343393896784e-03	-7.157218e-01
1.780506290396922e-03	-2.722573e-01
1.916669186897060e-03	1.708991e-01
2.052832083397198e-03	6.137472e-01
2.122586547682912e-03	8.404773e-01
2.192341011968627e-03	1.067120e+00
2.262095476254341e-03	1.293675e+00
2.331849940540055e-03	1.520142e+00
2.401604404825770e-03	1.746522e+00
2.471358869111484e-03	1.972815e+00
2.541113333397198e-03	2.199019e+00
2.580175833397198e-03	2.325655e+00
2.599707083397198e-03	2.388962e+00
2.619238333397198e-03	2.452262e+00
2.621679739647198e-03	2.460174e+00
2.626562552147198e-03	2.475997e+00
2.627783255272198e-03	2.479952e+00
2.630224661522198e-03	2.487861e+00
2.630675837780136e-03	2.489322e+00
2.630788631844621e-03	2.489687e+00
2.631014219973590e-03	2.490415e+00
2.631465396231528e-03	2.491860e+00
2.631578190296013e-03	2.492214e+00
2.631606388812134e-03	2.492299e+00
2.631662785844376e-03	2.492444e+00
2.631775579908861e-03	2.492631e+00
2.631800362551756e-03	2.492521e+00
2.631849927837544e-03	2.491929e+00
2.631857251165868e-03	2.491906e+00
